,entity,event_time,activity
0,2,4,process_A
1,2,6,process_B
2,3,6,process_A
3,2,8,process_C
4,3,8,process_B
5,4,8,process_A
6,3,10,process_C
7,4,10,process_B
8,5,10,process_A
9,4,12,process_C
10,5,12,process_B
11,6,12,process_A
12,5,14,process_C
13,6,14,process_B
14,7,14,process_A
15,6,16,process_C
16,7,16,process_B
17,8,16,process_A
18,7,18,process_C
19,8,18,process_B
20,9,18,process_A
21,8,20,process_C
22,9,20,process_B
23,10,20,process_A
24,9,22,process_C
25,10,22,process_B
26,11,22,process_A
27,10,24,process_C
28,11,24,process_B
29,11,26,process_C
